"Measurements made by Analytical Engineering, Inc. (AEI) November 5, 2007",,,,,,,,,,,,
,,,,,,,,,,artificial points highlighted,,

,,Measured Values,,,,,,,Converted Values,,,
order,% throttle,engspeed,engtrq,bsfc_c,ambient_t,fuel_rate_c,barom_p,,Pbo,barom_p,T_amb,fuel rate
,,rpm,N-m,kg/kW-hr,deg. F,lbm/hr,in. HgA,,kW,kPa,K,kg/hr
61,0,1300,0,0,78.7,1.9,29.57,,0,100.12402,299.0944444,0.864
62,0,1400,0,0,78.7,1.9,29.56,,0,100.09016,299.0944444,0.864
63,0,1500,0,0,79.1,1.9,29.55,,0,100.0563,299.3166667,0.864
64,0,1600,0,0,80.9,1.9,29.55,,0,100.0563,300.3166667,0.864
65,0,1700,0,0,80.2,1.9,29.55,,0,100.0563,299.9277778,0.864
66,0,1800,0,0,82.7,1.9,29.54,,0,100.02244,301.3166667,0.864
67,0,1900,0,0,83.3,1.9,29.54,,0,100.02244,301.65,0.864
68,0,2000,0,0,83.9,1.9,29.54,,0,100.02244,301.9833333,0.864
69,0,2100,0,0,85.4,1.9,29.54,,0,100.02244,302.8166667,0.864
70,0,2200,0,0,70,1.9,29.59,,0,100.19174,294.2611111,0.864
71,0,2300,0,0,71.5,1.9,29.6,,0,100.2256,295.0944444,0.864
72,0,2400,0,0,88.9,1.9,29.49,,0,99.85314,304.7611111,0.864
73,0,2500,0,0,82.1,1.9,29.14,,0,98.66804,300.9833333,0.864
74,0,2600,0,0,82.1,1.9,29.14,,0,98.66804,300.9833333,0.864
75,0,2700,0,0,82.1,1.9,29.14,,0,98.66804,300.9833333,0.864
4,25,1300,19,0.5816,78.7,3.3,29.57,,2.586577951,100.12402,299.0944444,1.5
8,25,1400,23.1,0.5407,78.7,4,29.56,,3.386636881,100.09016,299.0944444,1.818181818
12,25,1500,28.5,0.4818,79.1,4.8,29.55,,4.476769531,100.0563,299.3166667,2.181818182
16,25,1600,29.8,0.4594,80.9,5.1,29.55,,4.993037924,100.0563,300.3166667,2.318181818
20,25,1700,31.2,0.4576,80.2,5.6,29.55,,5.554335812,100.0563,299.9277778,2.545454545
24,25,1800,31.1,0.4434,82.7,5.7,29.54,,5.862211892,100.02244,301.3166667,2.590909091
28,25,1900,31.1,0.4568,83.3,6.2,29.54,,6.18789033,100.02244,301.65,2.818181818
32,25,2000,32.6,0.4389,83.9,6.6,29.54,,6.827728034,100.02244,301.9833333,3
36,25,2100,32.6,0.4428,85.4,7,29.54,,7.169114435,100.02244,302.8166667,3.181818182
40,25,2200,29.8,0.4812,70,7.3,29.59,,6.865427146,100.19174,294.2611111,3.318181818
44,25,2300,29.8,0.485,71.5,7.7,29.6,,7.177492016,100.2256,295.0944444,3.5
48,25,2400,29.6,0.4907,88.9,8,29.49,,7.439291404,99.85314,304.7611111,3.636363636
52,25,2500,29.8,0.4877,82.1,8.4,29.14,,7.801621756,98.66804,300.9833333,3.818181818
59,25,2600,19.325,0.681905548,82.1,7.89,29.14,,5.261644096,98.66804,300.9833333,3.587944301
60,25,2700,8.625,1.3663454,82.1,7.33,29.14,,2.438661297,98.66804,300.9833333,3.332053646
3,50,1300,36.8,0.433,79.4,4.8,29.57,,5.009793085,100.12402,299.4833333,2.181818182
7,50,1400,47.5,0.3861,79.3,5.9,29.56,,6.963863715,100.09016,299.4277778,2.681818182
11,50,1500,56.8,0.3398,81.8,6.7,29.55,,8.922123136,100.0563,300.8166667,3.045454545
15,50,1600,59.7,0.3402,83.8,7.5,29.55,,10.00283101,100.0563,301.9277778,3.409090909
19,50,1700,62.4,0.3388,83.7,8.3,29.55,,11.10867162,100.0563,301.8722222,3.772727273
23,50,1800,62.3,0.3193,86.6,8.3,29.54,,11.74327334,100.02244,303.4833333,3.772727273
27,50,1900,62.4,0.3281,86.3,9,29.54,,12.41557417,100.02244,303.3166667,4.090909091
31,50,2000,65.1,0.3189,85.9,9.6,29.54,,13.63451212,100.02244,303.0944444,4.363636364
35,50,2100,65.1,0.3206,90.2,10.1,29.54,,14.31623772,100.02244,305.4833333,4.590909091
39,50,2200,61,0.3451,70.7,10.7,29.59,,14.05339114,100.19174,294.65,4.863636364
43,50,2300,61,0.3364,73,10.9,29.6,,14.69218164,100.2256,295.9277778,4.954545455
47,50,2400,59.5,0.3357,90.4,11.1,29.48,,14.95398103,99.81928,305.5944444,5.045454545
51,50,2500,59.6,0.3308,85.1,11.4,29.15,,15.60324351,98.7019,302.65,5.181818182
57,50,2600,38.65,0.408037739,85.1,9.45,29.15,,10.52328819,98.7019,302.65,4.293898719
58,50,2700,17.25,0.728495444,85.1,7.82,29.15,,4.877322595,98.7019,302.65,3.553107291
2,75,1300,55.5,0.416,81.5,6.9,29.57,,7.555530332,100.12402,300.65,3.136363636
6,75,1400,70.6,0.3444,82.1,7.9,29.56,,10.3505006,100.09016,300.9833333,3.590909091
10,75,1500,86.6,0.3265,84.3,9.8,29.55,,13.60309619,100.0563,302.2055556,4.454545455
14,75,1600,89.4,0.3012,85.3,9.9,29.55,,14.97911377,100.0563,302.7611111,4.5
18,75,1700,94.8,0.2894,87.9,10.8,29.55,,16.87663574,100.0563,304.2055556,4.909090909
22,75,1800,94.9,0.2854,89.6,11.3,29.54,,17.88822857,100.02244,305.15,5.136363636
26,75,1900,94.9,0.2821,90.6,11.7,29.54,,18.88201905,100.02244,305.7055556,5.318181818
30,75,2000,99,0.2831,94.9,12.9,29.54,,20.73451151,100.02244,308.0944444,5.863636364
34,75,2100,97.6,0.2792,94.5,13.2,29.54,,21.46336101,100.02244,307.8722222,6
38,75,2200,90.8,0.2906,75,13.4,29.59,,20.91881828,100.19174,297.0388889,6.090909091
42,75,2300,90.9,0.2884,77.3,13.9,29.6,,21.8937592,100.2256,298.3166667,6.318181818
46,75,2400,90.7,0.2867,97.4,14.4,29.48,,22.79539629,99.81928,309.4833333,6.545454545
50,75,2500,90.8,0.2924,89.3,15.3,29.15,,23.77138441,98.7019,304.9833333,6.954545455
55,75,2600,57.975,0.330774305,89.3,11.49,29.15,,15.78493229,98.7019,304.9833333,5.22125
56,75,2700,25.875,0.515878793,89.3,8.3,29.15,,7.315983892,98.7019,304.9833333,3.774160937
1,100,1300,75.5,0.4951,79.3,11.2,29.57,,10.27824396,100.12402,299.4277778,5.090909091
5,100,1400,88.5,0.4076,80.7,11.7,29.56,,12.97477766,100.09016,300.2055556,5.318181818
9,100,1500,108.1,0.3245,86.2,12.1,29.56,,16.98030829,100.09016,303.2611111,5.5
13,100,1600,118.8,0.3002,85.9,13.2,29.55,,19.90513105,100.0563,303.0944444,6
17,100,1700,126.3,0.2715,88.7,13.5,29.55,,22.48437862,100.0563,304.65,6.136363636
21,100,1800,126.4,0.2798,89.1,14.7,29.55,,23.82583868,100.0563,304.8722222,6.681818182
25,100,1900,124.1,0.2865,93.8,15.6,29.54,,24.69187106,100.02244,307.4833333,7.090909091
29,100,2000,130.7,0.2699,96.2,16.3,29.54,,27.37374399,100.02244,308.8166667,7.409090909
33,100,2100,129.7,0.268,98.9,16.8,29.54,,28.5225197,100.02244,310.3166667,7.636363636
37,100,2200,122.7,0.2675,76.3,16.7,29.59,,28.2680507,100.19174,297.7611111,7.590909091
41,100,2300,122.5,0.2749,77.2,17.9,29.6,,29.504791,100.2256,298.2611111,8.136363636
45,100,2400,121.6,0.2726,94.8,18.4,29.48,,30.56141333,99.81928,308.0388889,8.363636364
49,100,2500,120.1,0.267,88.5,18.5,29.15,,31.44210647,98.7019,304.5388889,8.409090909
53,100,2600,77.3,0.3129,85.9,14.5,29.14,,21.04657638,98.66804,303.0944444,6.590909091
54,100,2700,34.5,0.426417202,85.9,9.15,29.14,,9.754645189,98.66804,303.0944444,4.159548505
